Year,Month,Day,Flag Tsunami,Flag Earthquake,Volcano Name,Location,Country,Elevation,Volcano Type,Status,Volcanic Explosivity Index,Volcano : Deaths,Volcano : Deaths Description,Volcano : Missing,Volcano : Missing Description,Volcano : Injuries,Volcano : Injuries Description,Volcano : Damage (in M$),Volcano : Damage Description,Volcano : Houses destroyed,Volcano : Houses destroyed Description,Total Effects : Deaths,Total Effects : Deaths Description,Total Effects : Missing,Total Effects : Missing Description,Total Effects : Injuries,Total Effects : Injuries Description,Total Effects : Damages in million Dollars,Total Effects : Damage Description,Total Effects : Houses Destroyed,Total Effects : Houses Destroyed Description,Coordinates,Earthquakes : Houses damaged Description,Total Effects : Houses Damaged Description
1823,2,,,,Kilauea,Hawaiian Is,United States,1222,Shield volcano,Historical,0,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,19425,-155292,
1832,12,25,,,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,3,32,Few (~1 to 50 deaths),,,,,,,,Some (~51 to 100 houses),32,Few (~1 to 50 deaths),,,,,,,,Some (~51 to 100 houses),-7542,110442,
1838,2,26,,,Gamalama,Halmahera-Indonesia,Indonesia,1715,Stratovolcano,Historical,2,4,Few (~1 to 50 deaths),,,,,,,,,4,Few (~1 to 50 deaths),,,,,,,,,0.8,127325,
1858,1,,,,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,2,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,13257,123685,
1872,12,,,,Aso,Kyushu-Japan,Japan,1592,Caldera,Historical,3,4,Few (~1 to 50 deaths),,,,,,,,,4,Few (~1 to 50 deaths),,,,,,,,,32.88,131.1,
1879,2,4,Tsunami,,Stromboli,Italy,Italy,926,Stratovolcano,Historical,2,,,,,,,,,,,,,,,,,,,,,38789,15213,
1893,5,19,,,Azuma,Honshu-Japan,Japan,2024,Stratovolcano,Historical,2,2,Few (~1 to 50 deaths),,,,,,,,,2,Few (~1 to 50 deaths),,,,,,,,,37.73,140.25,
1918,7,18,Tsunami,,Banua Wuhu,Sangihe Is-Indonesia,Indonesia,-5,Submarine volcano,Historical,3,,,,,,,,,,,,,,,,,,,,,3138,125491,
1940,7,12,,,Miyake-jima,Izu Is-Japan,Japan,815,Stratovolcano,Historical,2,11,Few (~1 to 50 deaths),,,20.0,Few (~1 to 50 deaths),,,,,11,Few (~1 to 50 deaths),,,20.0,Few (~1 to 50 deaths),,,,,34.08,139.53,
1966,1,13,Tsunami,,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,851,Stratovolcano,Historical,3,,,,,,,,,,,,,,,,,,,,,-10.38,165.8,
1970,5,5,,,Hekla,Iceland-S,Iceland,1491,Stratovolcano,Historical,3,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,63.98,-19.7,
1974,10,10,,,Fuego,Guatemala,Guatemala,3763,Stratovolcano,Historical,4,,Few (~1 to 50 deaths),,,,,,MODERATE (~$1 to $5 million),,Many (~101 to 1000 houses),,Few (~1 to 50 deaths),,,,,,MODERATE (~$1 to $5 million),,Many (~101 to 1000 houses),14473,-90.88,
1975,1,,,,Marapi,Sumatra,Indonesia,2891,Complex volcano,Historical,2,80,Some (~51 to 100 deaths),,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),80,Some (~51 to 100 deaths),,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),-381,100473,
1977,4,27,,,Krafla,Iceland-NE,Iceland,650,Caldera,Historical,1,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,65.73,-16.78,
1984,9,14,,,On-take,Honshu-Japan,Japan,3063,Complex volcano,Historical,,29,Few (~1 to 50 deaths),,,,,,,,,29,Few (~1 to 50 deaths),,,,,,,,,35.9,137.48,
1989,2,12,,,Aso,Kyushu-Japan,Japan,1592,Caldera,Historical,,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,32.88,131.1,
1991,6,,,,Mutnovsky,Kamchatka,Russia,2322,Complex volcano,Historical,,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,52453,158195,
1991,8,8,,,Hudson, Cerro,Chile-S,Chile,1905,Stratovolcano,Historical,5,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,-45.9,-72.97
1992,3,18,,,Dieng Volc Complex,Java,Indonesia,2565,Complex volcano,Historical,,1,Few (~1 to 50 deaths),,,2.0,Few (~1 to 50 deaths),,,,,1,Few (~1 to 50 deaths),,,2.0,Few (~1 to 50 deaths),,,,,-7.2,109.92,
